season,position,team,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2014,1,Barcelona,38,30,4,4,110,21,89,94
2014,2,Real Madrid,38,30,2,6,118,38,80,92
2014,3,Atlético Madrid,38,23,9,6,67,29,38,78
2014,4,Valencia,38,22,11,5,70,32,38,77
2014,5,Sevilla FC,38,23,7,8,71,45,26,76
2014,6,Villarreal,38,16,12,10,48,37,11,60
2014,7,Athletic Club,38,15,10,13,42,41,1,55
2014,8,Celta Vigo,38,13,12,13,47,44,3,51
2014,9,Málaga,38,14,8,16,42,48,-6,50
2014,10,Espanyol,38,13,10,15,47,51,-4,49
2014,11,Rayo Vallecano,38,15,4,19,46,68,-22,49
2014,12,Real Sociedad,38,11,13,14,44,51,-7,46
2014,13,Elche,38,11,8,19,35,62,-27,41
2014,14,Levante,38,9,10,19,34,67,-33,37
2014,15,Getafe,38,10,7,21,33,64,-31,37
2014,16,Deportivo La Coruña,38,7,14,17,35,60,-25,35
2014,17,Granada,38,7,14,17,29,64,-35,35
2014,18,Eibar,38,9,8,21,34,55,-21,35
2014,19,Almería,38,8,8,22,35,64,-29,29
2014,20,Córdoba,38,3,11,24,22,68,-46,20
