season,position,team,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2024,1,Barcelona,38,28,4,6,102,39,63,88
2024,2,Real Madrid,38,26,6,6,78,38,40,84
2024,3,Atlético Madrid,38,22,10,6,68,30,38,76
2024,4,Athletic Club,38,19,13,6,54,29,25,70
2024,5,Villarreal,38,20,10,8,71,51,20,70
2024,6,Real Betis,38,16,12,10,57,50,7,60
2024,7,Celta Vigo,38,16,7,15,59,57,2,55
2024,8,Rayo Vallecano,38,13,13,12,41,45,-4,52
2024,9,Osasuna,38,12,16,10,48,52,-4,52
2024,10,Mallorca,38,13,9,16,35,44,-9,48
2024,11,Real Sociedad,38,13,7,18,35,46,-11,46
2024,12,Valencia,38,11,13,14,44,54,-10,46
2024,13,Getafe,38,11,9,18,34,39,-5,42
2024,14,Espanyol,38,11,9,18,40,51,-11,42
2024,15,Alavés,38,10,12,16,38,48,-10,42
2024,16,Girona,38,11,8,19,44,60,-16,41
2024,17,Sevilla FC,38,10,11,17,42,55,-13,41
2024,18,Leganés,38,9,13,16,39,56,-17,40
2024,19,Las Palmas,38,8,8,22,40,61,-21,32
2024,20,Real Valladolid,38,4,4,30,26,90,-64,16
