season,position,team,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2008,1,Barcelona,38,27,6,5,105,35,70,87
2008,2,Real Madrid,38,25,3,10,83,52,31,78
2008,3,Sevilla FC,38,21,7,10,54,39,15,70
2008,4,Atlético Madrid,38,20,7,11,80,57,23,67
2008,5,Villarreal,38,18,11,9,61,54,7,65
2008,6,Valencia,38,18,8,12,68,54,14,62
2008,7,Deportivo La Coruña,38,16,10,12,48,47,1,58
2008,8,Málaga,38,15,10,13,55,59,-4,55
2008,9,Mallorca,38,14,9,15,53,60,-7,51
2008,10,Espanyol,38,12,11,15,46,49,-3,47
2008,11,Almería,38,13,7,18,45,61,-16,46
2008,12,Racing Santander,38,12,10,16,49,48,1,46
2008,13,Athletic Club,38,12,8,18,47,62,-15,44
2008,14,Sporting Gijón,38,14,1,23,47,79,-32,43
2008,15,Osasuna,38,10,13,15,41,47,-6,43
2008,16,Real Valladolid,38,12,7,19,46,58,-12,43
2008,17,Getafe,38,10,12,16,50,56,-6,42
2008,18,Real Betis,38,10,12,16,51,58,-7,42
2008,19,Numancia,38,10,5,23,38,69,-31,35
2008,20,Recreativo Huelva,38,8,9,21,34,57,-23,33
