season,position,team,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2009,1,Barcelona,38,31,6,1,98,24,74,99
2009,2,Real Madrid,38,31,3,4,102,35,67,96
2009,3,Valencia,38,21,8,9,59,40,19,71
2009,4,Sevilla FC,38,19,6,13,65,49,16,63
2009,5,Mallorca,38,18,8,12,59,44,15,62
2009,6,Getafe,38,17,7,14,58,48,10,58
2009,7,Villarreal,38,16,8,14,58,57,1,56
2009,8,Athletic Club,38,15,9,14,50,53,-3,54
2009,9,Atlético Madrid,38,13,8,17,57,61,-4,47
2009,10,Deportivo La Coruña,38,13,8,17,35,49,-14,47
2009,11,Espanyol,38,11,11,16,29,46,-17,44
2009,12,Osasuna,38,11,10,17,37,46,-9,43
2009,13,Almería,38,10,12,16,43,55,-12,42
2009,14,Real Zaragoza,38,10,11,17,46,64,-18,41
2009,15,Sporting Gijón,38,9,13,16,36,51,-15,40
2009,16,Racing Santander,38,9,12,17,42,59,-17,39
2009,17,Málaga,38,7,16,15,42,48,-6,37
2009,18,Real Valladolid,38,7,15,16,37,62,-25,36
2009,19,Tenerife,38,9,9,20,40,74,-34,36
2009,20,Xerez,38,8,10,20,38,66,-28,34
