season,position,team,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2012,1,Barcelona,38,32,4,2,115,40,75,100
2012,2,Real Madrid,38,26,7,5,103,42,61,85
2012,3,Atlético Madrid,38,23,7,8,65,31,34,76
2012,4,Real Sociedad,38,18,12,8,70,49,21,66
2012,5,Valencia,38,19,8,11,67,54,13,65
2012,6,Málaga,38,16,9,13,53,50,3,57
2012,7,Real Betis,38,16,8,14,57,56,1,56
2012,8,Rayo Vallecano,38,16,5,17,50,66,-16,53
2012,9,Sevilla FC,38,14,8,16,58,54,4,50
2012,10,Getafe,38,13,8,17,43,57,-14,47
2012,11,Levante,38,12,10,16,40,57,-17,46
2012,12,Athletic Club,38,12,9,17,44,65,-21,45
2012,13,Espanyol,38,11,11,16,43,52,-9,44
2012,14,Real Valladolid,38,11,10,17,49,58,-9,43
2012,15,Granada,38,11,9,18,37,54,-17,42
2012,16,Osasuna,38,10,9,19,33,50,-17,39
2012,17,Celta Vigo,38,10,7,21,37,52,-15,37
2012,18,Mallorca,38,9,9,20,43,72,-29,36
2012,19,Deportivo La Coruña,38,8,11,19,47,70,-23,35
2012,20,Real Zaragoza,38,9,7,22,37,62,-25,34
