season,position,team,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2016,1,Real Madrid,38,29,6,3,106,41,65,93
2016,2,Barcelona,38,28,6,4,116,37,79,90
2016,3,Atlético Madrid,38,23,9,6,70,27,43,78
2016,4,Sevilla FC,38,21,9,8,69,49,20,72
2016,5,Villarreal,38,19,10,9,56,33,23,67
2016,6,Real Sociedad,38,19,7,12,59,53,6,64
2016,7,Athletic Club,38,19,6,13,53,43,10,63
2016,8,Espanyol,38,15,11,12,49,50,-1,56
2016,9,Alavés,38,14,13,11,41,43,-2,55
2016,10,Eibar,38,15,9,14,56,51,5,54
2016,11,Málaga,38,12,10,16,49,55,-6,46
2016,12,Valencia,38,13,7,18,56,65,-9,46
2016,13,Celta Vigo,38,13,6,19,53,69,-16,45
2016,14,Las Palmas,38,10,9,19,53,74,-21,39
2016,15,Real Betis,38,10,9,19,41,64,-23,39
2016,16,Deportivo La Coruña,38,8,12,18,43,61,-18,36
2016,17,Leganés,38,8,11,19,36,55,-19,35
2016,18,Sporting Gijón,38,7,10,21,42,72,-30,31
2016,19,Osasuna,38,4,10,24,40,94,-54,22
2016,20,Granada,38,4,8,26,30,82,-52,20
