season,position,team,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2010,1,Barcelona,38,30,6,2,95,21,74,96
2010,2,Real Madrid,38,29,5,4,102,33,69,92
2010,3,Valencia,38,21,8,9,64,44,20,71
2010,4,Villarreal,38,18,8,12,54,44,10,62
2010,5,Sevilla FC,38,17,7,14,62,61,1,58
2010,6,Athletic Club,38,18,4,16,59,55,4,58
2010,7,Atlético Madrid,38,17,7,14,62,53,9,58
2010,8,Espanyol,38,15,4,19,46,55,-9,49
2010,9,Osasuna,38,13,8,17,45,46,-1,47
2010,10,Sporting Gijón,38,11,14,13,35,42,-7,47
2010,11,Málaga,38,13,7,18,54,68,-14,46
2010,12,Racing Santander,38,12,10,16,41,56,-15,46
2010,13,Real Zaragoza,38,12,9,17,40,53,-13,45
2010,14,Levante,38,12,9,17,41,52,-11,45
2010,15,Real Sociedad,38,14,3,21,49,66,-17,45
2010,16,Getafe,38,12,8,18,49,60,-11,44
2010,17,Mallorca,38,12,8,18,41,56,-15,44
2010,18,Deportivo La Coruña,38,10,13,15,31,47,-16,43
2010,19,Hercules,38,9,8,21,36,60,-24,35
2010,20,Almería,38,6,12,20,36,70,-34,30
