season,position,team,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2015,1,Barcelona,38,29,4,5,112,29,83,91
2015,2,Real Madrid,38,28,6,4,110,34,76,90
2015,3,Atlético Madrid,38,28,4,6,63,18,45,88
2015,4,Villarreal,38,18,10,10,44,35,9,64
2015,5,Athletic Club,38,18,8,12,58,45,13,62
2015,6,Celta Vigo,38,17,9,12,51,59,-8,60
2015,7,Sevilla FC,38,14,10,14,51,50,1,52
2015,8,Málaga,38,12,12,14,38,35,3,48
2015,9,Real Sociedad,38,13,9,16,45,48,-3,48
2015,10,Real Betis,38,11,12,15,34,52,-18,45
2015,11,Las Palmas,38,12,8,18,45,53,-8,44
2015,12,Valencia,38,11,11,16,46,48,-2,44
2015,13,Espanyol,38,12,7,19,40,74,-34,43
2015,14,Eibar,38,11,10,17,49,61,-12,43
2015,15,Deportivo La Coruña,38,8,18,12,45,61,-16,42
2015,16,Granada,38,10,9,19,46,69,-23,39
2015,17,Sporting Gijón,38,10,9,19,40,62,-22,39
2015,18,Rayo Vallecano,38,9,11,18,52,73,-21,38
2015,19,Getafe,38,9,9,20,37,67,-30,36
2015,20,Levante,38,8,8,22,37,70,-33,32
