season,position,team,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2005,1,Barcelona,38,25,7,6,80,35,45,82
2005,2,Real Madrid,38,20,10,8,70,40,30,70
2005,3,Valencia,38,19,12,7,58,33,25,69
2005,4,Osasuna,38,21,5,12,49,43,6,68
2005,5,Sevilla FC,38,20,8,10,54,39,15,68
2005,6,Celta Vigo,38,20,4,14,45,33,12,64
2005,7,Villarreal,38,14,15,9,50,39,11,57
2005,8,Deportivo La Coruña,38,15,10,13,47,45,2,55
2005,9,Getafe,38,15,9,14,54,49,5,54
2005,10,Atlético Madrid,38,13,13,12,45,37,8,52
2005,11,Real Zaragoza,38,10,16,12,46,51,-5,46
2005,12,Athletic Club,38,11,12,15,40,46,-6,45
2005,13,Mallorca,38,10,13,15,37,51,-14,43
2005,14,Real Betis,38,10,12,16,34,51,-17,42
2005,15,Espanyol,38,10,11,17,36,56,-20,41
2005,16,Real Sociedad,38,11,7,20,48,65,-17,40
2005,17,Racing Santander,38,9,13,16,36,49,-13,40
2005,18,Alavés,38,9,12,17,35,54,-19,39
2005,19,Cádiz,38,8,12,18,36,52,-16,36
2005,20,Málaga,38,5,9,24,36,68,-32,24
